ConfigurationA,ConfigurationB,performance-sensitive,performance-sensitive,source
hbase.zookeeper.property.clientPort,hbase.zookeeper.quorum,1,1,both
dfs.client.read.shortcircuit,dfs.domain.socket.path,1,0,both
hbase.regionserver.global.memstore.size.lower.limit,hbase.regionserver.global.memstore.size,1,1,both
hbase.hstore.compaction.min.size,hbase.hstore.compaction.ratio,1,1,manual
hbase.security.authentication,hbase.auth.key.update.interval,1,1,code
hbase.security.authentication,hbase.auth.token.max.lifetime,1,0,code
