ConfigurationA,ConfigurationB,Aperformance-sensitive,Bperformance-sensitive,source,type
server.errorlog-use-syslog,server.syslog-facility,1,0,Code,mixed
server.max-connections,server.max-fds,1,0,Code,mixed
