name,ab10000-100,ab10000-1000,jmeter1
msie_padding,"(6724.42, 6567.31)","(5542.82, 5590.29)","(3023.79, 3037.20)"
msie_refresh,"(6667.98, 6920.37)","(5548.14, 5590.28)","(3027.43, 3037.20)"
open_file_cache,"(6746.96, 6755.21)","(5622.03, 5590.28)","(3034.91, 3037.20)"
open_file_cache_errors,"(6702.34, 6842.95)","(5569.03, 5590.29)","(3052.64, 3037.20)"
open_file_cache_min_uses,"(6708.99, 6851.96, 6539.87)","(5639.07, 5590.28, 5590.29)","(3015.15, 3037.20, 3037.20)"
open_file_cache_valid,"(6591.46, 6485.12, 7026.29)","(5823.01, 5590.30, 5590.28)","(3080.31, 3037.20, 3037.21)"
output_buffers,"(6379.98, 6923.18, 6829.61)","(5374.44, 5590.32, 5590.30)","(2899.02, 3037.18, 3037.19)"
port_in_redirect,"(6755.62, 6378.05)","(5574.36, 5590.29)","(3048.85, 3037.20)"
postpone_output,"(6737.52, 6949.95, 6478.59)","(5582.05, 5590.29, 5590.29)","(3029.05, 3037.20, 3037.20)"
read_ahead,"(6922.50, 6753.70, 6750.80)","(5631.71, 5590.29, 5590.28)","(3019.39, 3037.20, 3037.20)"
recursive_error_pages,"(6400.62, 6767.77)","(5342.91, 5590.32)","(3146.54, 3037.20)"
request_pool_size,"(6962.85, 6563.78, 6699.98)","(5627.97, 5590.28, 5590.30)","(3160.30, 3037.16, 3037.17)"
reset_timedout_connection,"(6767.20, 6485.40)","(5617.50, 5590.29)","(3029.07, 3037.20)"
resolver,"(6805.55, 6378.61, 7041.01, 6658.71, 6764.10, 6817.45)","(5466.24, 5590.28, 5590.27, 5590.28, 5590.29, 5590.28)","(2923.98, 3037.22, 3037.23, 3037.16, 3037.22, 3037.18)"
resolver_timeout,"(6905.08, 6382.59, 6612.67)","(5628.14, 5590.30, 5590.29)","(3180.31, 3037.22, 3037.22)"
root,"(6512.82, 6790.02, 6431.50)","(5548.79, 5590.29, 5590.29)","(3027.54, 3037.20, 3037.20)"
satisfy,"(6557.29, 6448.78)","(5754.27, 5590.30)","(3105.92, 3037.20)"
send_lowat,"(6714.05, 6376.52, 6805.94)","(5814.83, 5590.28, 5590.31)","(3020.54, 3037.20, 3037.20)"
send_timeout,"(6429.13, 6377.82, 6488.61)","(5372.01, 5590.32, 5590.29)","(3176.25, 3037.23, 3037.24)"
sendfile,"(6843.14, 'error')","(5747.95, 5590.27)","(2916.01, 3037.20)"
sendfile_max_chunk,"(7053.20, 6710.19, 6528.66)","(5905.01, 5590.31, 5590.26)","(3140.71, 3037.21, 3037.23)"
server,"(6436.95, 7004.46, 6901.89)","(5658.96, 5590.29, 5590.28)","(3069.43, 3037.19, 3037.20)"
server_name,"(6749.88, 6424.28, 6796.20)","(5455.76, 5590.29, 5590.29)","(3145.97, 3037.22, 3037.22)"
server_name_in_redirect,"(6848.17, 6717.25)","(5693.61, 5590.29)","(2992.85, 3037.20)"
server_names_hash_bucket_size,"(6663.44, 6426.08, 6962.38)","(5591.08, 5590.29, 5590.29)","(3060.63, 3037.21, 3037.20)"
server_names_hash_max_size,"(6682.06, 6528.83, 6738.36)","(5581.78, 5590.29, 5590.29)","(3041.68, 3037.20, 3037.20)"
server_tokens,"(6992.89, 6775.47, 6575.13, 6718.35, 6599.66, 6497.99)","(5327.88, 5590.32, 5590.25, 5590.31, 5590.29, 5590.25)","(2943.34, 3037.23, 3037.18, 3037.21, 3037.20, 3037.23)"
subrequest_output_buffer_size,"(6890.39, 7015.04, 6682.47)","(5844.40, 5590.32, 5590.31)","(3147.97, 3037.19, 3037.18)"
tcp_nodelay,"(6759.96, 6976.01)","(5636.91, 5590.30)","(3046.83, 3037.20)"
tcp_nopush,"(8049.61, 6704.62)","(5729.77, 5590.27)","(3084.08, 3037.21)"
try_files,"(6706.23, 6907.45, 6869.94)","(5552.47, 5590.29, 5590.29)","(3041.59, 3037.20, 3037.20)"
types,"(6799.71, 6877.56, 6604.91)","(5739.50, 5590.29, 5590.28)","(3008.00, 3037.20, 3037.20)"
types_hash_bucket_size,"(6643.79, 6979.99, 6584.19)","(5627.97, 5590.29, 5590.28)","(3012.44, 3037.21, 3037.20)"
types_hash_max_size,"(6517.75, 6809.25, 6653.98)","(5437.47, 5590.31, 5590.31)","(3313.00, 3037.18, 3037.23)"
underscores_in_headers,"(6793.66, 6951.19)","(5775.69, 5590.27)","(3123.19, 3037.21)"
variables_hash_bucket_size,"(6699.90, 6630.10, 6531.32)","(5586.07, 5590.29, 5590.29)","(3033.84, 3037.20, 3037.20)"
variables_hash_max_size,"(6432.60, 6613.94, 6976.99)","(5728.36, 5590.28, 5590.29)","(3185.16, 3037.23, 3037.21)"
