name,ab10000-100,ab10000-1000,jmeter1
absolute_redirect,"(6855.87, 6863.26)","(5587.70, 5590.29)","(2890.47, 3037.16)"
aio,"(6621.31, 6929.40, 6651.37, 6446.03, 6815.50, 6804.66)","(5830.65, 5590.28, 5590.32, 5590.27, 5590.30, 5590.30)","(3145.34, 3037.20, 3037.21, 3037.19, 3037.19, 3037.18)"
aio_write,"(6483.20, 6472.82)","(5375.01, 5590.25)","(3145.20, 3037.19)"
alias,"(6579.70, 6531.26, 6932.16)","(5569.01, 5590.29, 5590.29)","(3114.39, 3037.22, 3037.19)"
auth_delay,"(6677.35, 7007.37, 6481.00)","(5567.42, 5590.29, 5590.29)","(3036.30, 3037.20, 3037.20)"
chunked_transfer_encoding,"(6748.81, 6759.71)","(5553.31, 5590.29)","(3032.01, 3037.20)"
client_body_buffer_size,"(6689.34, 6443.86, 7014.90)","(5548.56, 5590.29, 5590.29)","(3007.06, 3037.19, 3037.21)"
client_body_in_file_only,"(6686.80, 6959.05, 6789.88, 6640.01, 6732.88, 6624.23)","(5677.04, 5590.29, 5590.30, 5590.28, 5590.30, 5590.30)","(3020.29, 3037.20, 3037.21, 3037.20, 3037.20, 3037.20)"
client_body_in_single_buffer,"(6476.82, 6657.62)","(5469.97, 5590.31)","(2929.21, 3037.22)"
client_body_temp_path,"(6623.84, 7034.99, 6629.04)","(5735.98, 5590.28, 5590.28)","(2943.65, 3037.19, 3037.22)"
client_body_timeout,"(6580.74, 6487.18, 6640.42)","(5417.24, 5590.31, 5590.32)","(2928.29, 3037.19, 3037.20)"
client_header_buffer_size,"(6749.34, 6978.16, 6591.08)","(5637.55, 5590.28, 5590.29)","(3034.40, 3037.20, 3037.20)"
client_header_timeout,"(6699.38, 6467.67, 6622.36)","(5708.88, 5590.29, 5590.29)","(2164.50, 3037.00, 3037.10)"
client_max_body_size,"(6905.90, 7009.84, 6726.24)","(5727.74, 5590.29, 5590.27)","(3300.30, 3037.24, 3037.20)"
connection_pool_size,"(6198.95, 6794.61, 6651.42)","(4908.99, 5590.31, 5590.33)","(2832.90, 3037.17, 3037.14)"
default_type,"(6628.70, 6931.87, 7023.39)","(5348.43, 5590.33, 5590.30)","(2892.30, 3037.18, 3037.22)"
directio,"(5621.94, 6763.64, 6799.67)","(6380.10, 5590.24, 5590.26)","(3278.70, 3037.23, 3037.22)"
directio_alignment,"(6900.28, 6746.59, 6925.87)","(5685.03, 5590.30, 5590.29)","(2905.11, 3037.24, 3037.20)"
disable_symlinks,"(6933.41, 6716.18)","(5785.54, 5590.31)","(2997.90, 3037.19)"
error_page,"(7013.10, 6934.02, 6388.50)","(5361.05, 5590.33, 5590.28)","(3081.17, 3037.21, 3037.20)"
etag,"(6799.14, 6887.07)","(5433.64, 5590.31)","(3084.45, 3037.21)"
http,"(6612.94, 6450.58, 6809.02)","(5761.93, 5590.30, 5590.26)","(3036.58, 3037.20, 3037.20)"
if_modified_since,"(6699.06, 6723.21, 6729.30, 6513.83, 6845.60, 6524.75)","(5637.32, 5590.29, 5590.29, 5590.28, 5590.28, 5590.29)","(3067.43, 3037.21, 3037.20, 3037.20, 3037.20, 3037.20)"
ignore_invalid_headers,"(6380.38, 6555.94)","(5809.30, 5590.32)","(3034.69, 3037.20)"
internal,"(6813.85, 6591.38)","(5729.33, 5590.31)","(2999.89, 3037.20)"
keepalive_disable,"(6920.38, 6705.13, 6709.83)","(5816.35, 5590.33, 5590.28)","(3132.72, 3037.19, 3037.20)"
keepalive_requests,"(7188.19, 6487.75, 6847.31)","(4329.83, 5590.19, 5590.22)","(3025.16, 3037.20, 3037.20)"
keepalive_time,"(6642.93, 6943.14, 6991.71)","(5610.33, 5590.29, 5590.29)","(3066.44, 3037.20, 3037.20)"
keepalive_timeout,"(5897.87, 6453.61, 6795.80)","(4969.02, 5590.39, 5590.25)","(3225.80, 3037.24, 3037.22)"
large_client_header_buffers,"(6150.55, 6482.99, 7021.11)","(6090.71, 5590.28, 5590.30)","(3621.10, 3037.10, 3037.15)"
limit_except,"(6801.40, 6971.07, 6540.73)","(5687.92, 5590.29, 5590.28)","(3145.10, 3037.20, 3037.22)"
limit_rate,"(6630.42, 6448.97, 6889.37)","(5665.88, 5590.30, 5590.30)","(3162.69, 3037.17, 3037.24)"
limit_rate_after,"(6709.76, 6691.03, 6395.29)","(5589.25, 5590.29, 5590.29)","(3062.86, 3037.21, 3037.21)"
lingering_close,"(6733.54, 6514.27, 7026.95, 6397.82, 6897.47, 6863.38)","(5621.58, 5590.29, 5590.29, 5590.29, 5590.29, 5590.29)","(3054.97, 3037.20, 3037.20, 3037.19, 3037.20, 3037.20)"
lingering_time,"(6728.31, 6785.44, 6724.87)","(5601.02, 5590.29, 5590.29)","(3007.49, 3037.21, 3037.20)"
lingering_timeout,"(6889.01, 7011.42, 6641.30)","(5858.71, 5590.31, 5590.28)","(3081.58, 3037.21, 3037.20)"
listen,"(6561.71, 6916.99, 6580.33, 6547.73, 6890.05, 6691.60)","(5601.54, 5590.29, 5590.29, 5590.29, 5590.29, 5590.29)","(3180.28, 3037.22, 3037.24, 3037.17, 3037.22, 3037.24)"
location,"(6494.41, 6532.68, 6419.08)","(5822.68, 5590.29, 5590.28)","(2894.40, 3037.22, 3037.23)"
log_not_found,"(6680.85, 6478.45)","(5623.86, 5590.29)","(3044.92, 3037.20)"
log_subrequest,"(7019.32, 6788.82)","(5652.05, 5590.30)","(3023.35, 3037.20)"
max_ranges,"(6710.77, 6616.05, 6807.86)","(5601.33, 5590.29, 5590.29)","(3005.76, 3037.21, 3037.21)"
merge_slashes,"(6722.24, 6884.23)","(5541.12, 5590.28)","(3029.66, 3037.20)"
