name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
mapreduce.reduce.node-label-expression,"(360, 358, 381)","(221403, 280961, 231573)","(380, 393, 382)"
mapreduce.reduce.maxattempts,"(360, 384, 378)","(259027, 258912, 259016)","(407, 370, 400)"
mapreduce.job.sharedcache.mode,"(381, 379, 391)","(258663, 258593, 258619)","(401, 382, 392)"
mapreduce.job.running.reduce.limit,"(370, 365, 388)","(260604, 258332, 256848)","(390, 390, 390)"
mapreduce.am.max-attempts,"(387, 357, 388)","(260196, 259327, 259782)","(398, 388, 380)"
yarn.app.mapreduce.client-am.ipc.max-retries,"(362, 362, 366)","(257458, 258396, 258678)","(405, 375, 394)"
yarn.app.mapreduce.am.webapp.port-range,"(390, 370, 383)","(247524, 260338, 253249)","(376, 393, 376)"
yarn.app.mapreduce.am.scheduler.heartbeat.interval-ms,"(358, 358, 388)","(263331, 261063, 260635)","(406, 387, 372)"
yarn.app.mapreduce.am.job.client.port-range,"(369, 388, 385)","(270783, 253905, 265942)","(404, 383, 389)"
mapreduce.shuffle.port,"(388, 378, 366)","(271436, 268867, 254814)","(393, 391, 387)"
mapreduce.shuffle.connection-keep-alive.timeout,"(379, 379, 385)","(251351, 254828, 263560)","(375, 378, 383)"
mapreduce.shuffle.connection-keep-alive.enable,"(381, 381)","(260828, 260787)","(388, 388)"
mapreduce.reduce.shuffle.retry-delay.max.ms,"(363, 382, 388)","(228913, 236495, 255087)","(389, 388, 388)"
mapreduce.map.maxattempts,"(367, 358, 365)","(250270, 259440, 252507)","(396, 387, 386)"
mapreduce.jobhistory.webapp.address,"(367, 365, 356)","(256211, 256231, 256961)","(394, 393, 388)"
mapreduce.jobhistory.http.policy,"(356, 386, 375)","(258019, 258762, 258951)","(399, 382, 382)"
mapreduce.jobhistory.address,"(359, 371, 389)","(259405, 258590, 258179)","(398, 383, 392)"
mapreduce.job.classloader.system.classes,"(372, 381, 371)","(256814, 258067, 259119)","(402, 393, 377)"
yarn.app.mapreduce.am.webapp.https.client.auth,"(370, 385)","(223559, 286419)","(372, 394)"
mapreduce.shuffle.ssl.enabled,"(368, 373)","(270403, 255313)","(377, 399)"
mapreduce.jobhistory.move.interval-ms,"(376, 382, 388)","(257004, 258458, 257943)","(386, 389, 387)"
mapreduce.jobhistory.minicluster.fixed.ports,"(366, 380)","(264866, 254122)","(377, 379)"
mapreduce.jobhistory.client.thread-count,"(389, 384, 380)","(260563, 257255, 258844)","(399, 382, 380)"
mapreduce.job.speculative.retry-after-no-speculate,"(382, 383, 355)","(258987, 258958, 258198)","(406, 392, 401)"
mapreduce.shuffle.pathcache.max-weight,"(386, 356, 381)","(261854, 260648, 255860)","(401, 391, 400)"
