name,YCSB-100000-100000-workloadb,YCSB-1000-1000-workloada,YCSB-10000-10000-workloadc
hbase.zookeeper.property.initLimit,"(0.00, 31017.83, 31016.99)","(1567.40, 1777.99, 1777.86)","(1894.39, 1868.46, 1868.47)"
hbase.zookeeper.property.syncLimit,"(31809.43, 31016.92, 31016.92)","(1758.98, 1777.91, 1777.90)","(1863.36, 1868.47, 1868.46)"
hbase.zookeeper.property.dataDir,"(31558.37, 31016.92, 31016.91)","(1832.04, 1777.89, 1777.88)","(1907.37, 1868.45, 1868.48)"
hbase.zookeeper.property.clientPort,"(nan, nan, 'nan')","(0.00, 1777.34, 1777.40)","(1924.20, 1868.48, 1868.46)"
hbase.zookeeper.property.maxClientCnxns,"(nan, nan, 'nan')","(0.00, 1777.31, 1777.75)","(40112.31, 1877.16, 1869.52)"
hbase.client.write.buffer,"(0.00, 31017.28, 31017.62)","(1567.40, 1777.81, 1777.80)","(1938.98, 1868.46, 1868.48)"
hbase.client.pause,"(31128.98, 31016.91, 31016.91)","(1759.84, 1777.90, 1777.91)","(31695.72, 1869.84, 1861.41)"
hbase.client.pause.server.overloaded,"(32342.30, 31016.94, 31016.91)","(1866.07, 1777.93, 1777.88)","(1943.36, 1868.47, 1868.49)"
hbase.client.retries.number,"(30364.33, 31016.90, 31016.91)","(1857.62, 1777.92, 1777.91)","(1857.50, 1868.47, 1868.46)"
hbase.client.max.total.tasks,"(36658.29, 31016.83, 31016.78)","(1703.81, 1777.95, 1777.88)","(1927.70, 1868.49, 1868.49)"
hbase.client.max.perserver.tasks,"(30120.19, 31016.92, 31016.90)","(1760.20, 1777.91, 1777.90)","(1900.94, 1868.48, 1868.48)"
hbase.client.max.perregion.tasks,"(31916.67, 31016.90, 31016.93)","(1840.52, 1777.90, 1777.89)","(1939.44, 1868.50, 1868.43)"
hbase.client.perserver.requests.threshold,"(0.00, 31017.66, 31016.05)","(0.00, 1777.04, 1778.54)","(1787.25, 1868.45, 1868.45)"
hbase.client.scanner.caching,"(31253.28, 31016.91, 31016.92)","(1825.29, 1777.90, 1777.90)","(1859.87, 1868.47, 1868.46)"
hbase.client.keyvalue.maxsize,"(30493.16, 31016.92, 31016.90)","(1849.90, 1777.90, 1777.91)","(1912.68, 1868.45, 1868.46)"
hbase.server.keyvalue.maxsize,"(32420.54, 31016.91, 31016.89)","(1752.50, 1777.91, 1777.90)","(1837.90, 1868.46, 1868.45)"
hbase.client.scanner.timeout.period,"(31929.23, 31016.94, 31016.89)","(1749.46, 1777.92, 1777.90)","(1836.53, 1868.45, 1868.45)"
hbase.client.localityCheck.threadPoolSize,"(31615.43, 31016.91, 31016.90)","(1714.81, 1777.91, 1777.92)","(1885.34, 1868.46, 1868.47)"
hbase.bulkload.retries.number,"(31223.71, 31016.91, 31016.91)","(1719.09, 1777.90, 1777.92)","(1900.68, 1868.46, 1868.47)"
hbase.compaction.after.bulkload.enable,"(30757.38, 31016.92)","(1789.89, 1777.90)","(1775.94, 1868.43)"
hbase.master.balancer.maxRitPercent,"(32081.32, 31016.94, 31016.88)","(1833.32, 1777.91, 1777.92)","(1777.80, 1868.44, 1868.44)"
hbase.balancer.period,"(32450.76, 31016.87, 31016.88)","(1810.85, 1777.90, 1777.91)","(1878.49, 1868.47, 1868.46)"
hbase.regions.slop,"(30769.67, 31016.91, 31016.91)","(1818.49, 1777.90, 1777.91)","(1958.61, 1868.48, 1868.51)"
hbase.normalizer.period,"(32063.31, 31016.94, 31016.90)","(1840.93, 1777.90, 1777.94)","(1851.66, 1868.46, 1868.47)"
hbase.normalizer.split.enabled,"(32507.40, 31016.88)","(1721.50, 1777.91)","(1861.94, 1868.46)"
hbase.normalizer.merge.enabled,"(31286.26, 31016.91)","(1761.57, 1777.90)","(1881.75, 1868.46)"
hbase.normalizer.merge.min.region.count,"(30963.04, 31016.91, 31016.91)","(1852.50, 1777.94, 1777.91)","(1879.66, 1868.47, 1868.47)"
hbase.normalizer.merge.min_region_age.days,"(29757.03, 31016.92, 31016.95)","(1749.20, 1777.89, 1777.91)","(1849.75, 1868.47, 1868.47)"
hbase.normalizer.merge.min_region_size.mb,"(31668.43, 31016.90, 31016.91)","(1775.19, 1777.90, 1777.91)","(1957.67, 1868.44, 1868.51)"
hbase.table.normalization.enabled,"(32254.44, 31016.88)","(1762.77, 1777.90)","(1924.03, 1868.48)"
hbase.server.thread.wakefrequency,"(31362.80, 31016.92, 31016.92)","(1572.33, 1778.00, 1777.89)","(1830.95, 1868.45, 1868.45)"
hbase.server.versionfile.writeattempts,"(31675.04, 31016.90, 31016.90)","(1790.44, 1777.91, 1777.90)","(1946.82, 1868.47, 1868.47)"
hbase.hregion.memstore.flush.size,"(30967.49, 31016.91, 31016.91)","(1766.50, 1777.90, 1777.90)","(1885.14, 1868.46, 1868.46)"
hbase.hregion.percolumnfamilyflush.size.lower.bound.min,"(30828.67, 31016.91, 31016.91)","(1865.93, 1777.86, 1777.94)","(1808.65, 1868.48, 1868.47)"
hbase.hregion.preclose.flush.size,"(31555.67, 31016.93, 31016.93)","(1768.10, 1777.90, 1777.90)","(1925.71, 1868.49, 1868.49)"
hbase.hregion.memstore.block.multiplier,"(30927.12, 31016.91, 31016.91)","(1860.71, 1777.86, 1777.94)","(1910.98, 1868.45, 1868.45)"
hbase.hregion.memstore.mslab.enabled,"(30782.23, 31016.91)","(1795.27, 1777.90)","(1857.28, 1868.46)"
hbase.hregion.memstore.mslab.chunksize,"(31855.20, 31016.91, 31016.94)","(1769.55, 1777.91, 1777.91)","(1782.33, 1868.50, 1868.49)"
hbase.regionserver.offheap.global.memstore.size,"(31992.77, 31016.89, 31016.90)","(1809.79, 1777.89, 1777.89)","(1900.24, 1868.47, 1868.47)"
hbase.hregion.memstore.mslab.max.allocation,"(30870.20, 31016.91, 31016.92)","(1776.16, 1777.90, 1777.91)","(1873.92, 1868.46, 1868.47)"
hbase.hregion.max.filesize,"(29472.08, 31016.89, 31016.89)","(1861.55, 1777.93, 1777.95)","(1845.53, 1868.46, 1868.46)"
hbase.hregion.split.overallfiles,"(30045.26, 31016.91)","(1700.30, 1777.88)","(1836.22, 1868.46)"
hbase.hregion.majorcompaction,"(32169.26, 31016.94, 31016.88)","(1811.41, 1777.90, 1777.92)","(1828.71, 1868.48, 1868.47)"
hbase.hregion.majorcompaction.jitter,"(29680.36, 31016.90, 31016.90)","(1695.73, 1777.92, 1777.94)","(1813.32, 1868.47, 1868.47)"
hbase.hstore.compactionThreshold,"(31937.31, 31016.94, 31016.92)","(1786.41, 1777.91, 1777.90)","(1775.29, 1868.43, 1868.44)"
hbase.regionserver.compaction.enabled,"(29595.29, 31016.87)","(1806.65, 1777.90)","(1824.02, 1868.47)"
hbase.hstore.flusher.count,"(31170.53, 31016.91, 31016.92)","(1784.07, 1777.91, 1777.90)","(1867.07, 1868.47, 1868.47)"
hbase.hstore.blockingStoreFiles,"(30842.53, 31016.92, 31016.91)","(1690.54, 1777.87, 1777.90)","(1802.12, 1868.44, 1868.49)"
hbase.hstore.blockingWaitTime,"(31502.85, 31016.93, 31016.90)","(1702.28, 1777.94, 1777.90)","(1865.03, 1868.46, 1868.46)"
hbase.hstore.compaction.min,"(30913.89, 31016.91, 31016.91)","(1764.38, 1777.91, 1777.90)","(1886.25, 1868.47, 1868.46)"
hbase.hstore.compaction.max,"(31053.80, 31016.91, 31016.91)","(1829.96, 1777.93, 1777.91)","(1874.51, 1868.47, 1868.47)"
hbase.hstore.compaction.min.size,"(37048.93, 31016.76, 31016.75)","(1644.74, 1777.98, 1777.85)","(1785.16, 1868.48, 1868.50)"
hbase.hstore.compaction.max.size,"(0.00, 31016.45, 31016.89)","(0.00, 1777.26, 1778.30)","(32000.00, 1854.79, 1873.92)"
hbase.hstore.compaction.ratio,"(nan, nan, 'nan')","(1600.00, 1777.99, 1777.95)","(1792.43, 1868.48, 1868.48)"
hbase.hstore.compaction.ratio.offpeak,"(31630.18, 31016.90, 31016.90)","(1859.80, 1777.92, 1777.95)","(1831.05, 1868.45, 1868.48)"
hbase.hstore.time.to.purge.deletes,"(32433.19, 31016.89, 31016.96)","(1779.19, 1777.91, 1777.90)","(1811.32, 1868.47, 1868.47)"
hbase.offpeak.start.hour,"(30091.96, 31016.88, 31016.92)","(1723.26, 1777.89, 1777.91)","(1845.99, 1868.47, 1868.48)"
hbase.offpeak.end.hour,"(31117.03, 31016.91, 31016.91)","(1775.90, 1777.90, 1777.90)","(1869.45, 1868.46, 1868.46)"
hbase.regionserver.thread.compaction.throttle,"(31412.75, 31016.91, 31016.90)","(1722.11, 1777.92, 1777.89)","(1793.71, 1868.47, 1868.45)"
hbase.regionserver.majorcompaction.pagecache.drop,"(30280.61, 31016.92)","(1716.78, 1777.91)","(1927.47, 1868.48)"
hbase.regionserver.minorcompaction.pagecache.drop,"(31437.20, 31016.92)","(1723.05, 1777.90)","(1930.24, 1868.47)"
hbase.hstore.compaction.kv.max,"(30447.19, 31016.91, 31016.90)","(1782.15, 1777.90, 1777.91)","(1784.92, 1868.47, 1868.47)"
hbase.storescanner.parallel.seek.enable,"(30546.98, 31016.91)","(1840.33, 1777.89)","(1797.93, 1868.46)"
hbase.storescanner.parallel.seek.threads,"(29908.18, 31016.89, 31016.93)","(1731.97, 1777.90, 1777.92)","(1814.36, 1868.48, 1868.44)"
hfile.block.cache.policy,"(31291.22, 31016.91, 31016.91, 31016.91, 31016.92, 31016.91)","(1762.92, 1777.91, 1777.91, 1777.91, 1777.91, 1777.90)","(1885.98, 1868.46, 1868.47, 1868.46, 1868.46, 1868.46)"
hfile.block.cache.size,"(0.00, 31017.72, 31017.41)","(1712.08, 1777.88, 1777.90)","(1813.16, 1868.47, 1868.45)"
hfile.block.index.cacheonwrite,"(31847.99, 31016.89)","(1536.10, 1777.79)","(1841.30, 1868.47)"
hfile.index.block.max.size,"(34587.03, 31017.01, 31016.91)","(1719.95, 1777.89, 1777.90)","(1889.58, 1868.46, 1868.46)"
hbase.bucketcache.ioengine,"(32559.95, 31016.96, 31016.89)","(1852.19, 1777.90, 1777.94)","(1878.91, 1868.47, 1868.47)"
hbase.hstore.compaction.throughput.lower.bound,"(30653.90, 31016.91, 31016.92)","(1815.82, 1777.92, 1777.92)","(39108.33, 1880.29, 1881.92)"
hbase.hstore.compaction.throughput.higher.bound,"(30796.96, 31016.92, 31016.92)","(1846.47, 1777.88, 1777.94)","(1907.50, 1868.48, 1868.46)"
hbase.bucketcache.size,"(30948.71, 31016.91, 31016.91)","(1776.59, 1777.91, 1777.90)","(1857.16, 1868.46, 1868.46)"
hbase.bucketcache.bucket.sizes,"(35117.47, 31016.79, 31017.00)","(1582.28, 1777.83, 1777.94)","(1875.22, 1868.46, 1868.47)"
hfile.format.version,"(0.00, 31017.12, 31017.32)","(1699.49, 1777.94, 1777.89)","(41946.31, 1883.88, 1881.05)"
hfile.block.bloom.cacheonwrite,"(32355.44, 31016.93)","(1699.23, 1777.90)","(1928.75, 1868.49)"
io.storefile.bloom.block.size,"(29774.58, 31016.95, 31016.94)","(1767.09, 1777.90, 1777.91)","(1898.16, 1868.48, 1868.47)"
hbase.rs.cacheblocksonwrite,"(29961.25, 31016.91)","(1729.78, 1777.91)","(1877.41, 1868.46)"
hbase.rpc.timeout,"(30847.28, 31016.92, 31016.91)","(1784.65, 1777.90, 1777.90)","(1877.08, 1868.46, 1868.46)"
hbase.client.operation.timeout,"(30990.68, 31016.91, 31016.91)","(1778.93, 1777.90, 1777.90)","(1872.06, 1868.47, 1868.46)"
hbase.cells.scanned.per.heartbeat.check,"(31671.26, 31016.91, 31016.89)","(1811.06, 1777.91, 1777.90)","(1958.87, 1868.48, 1868.47)"
hbase.rpc.shortoperation.timeout,"(31013.06, 31016.91, 31016.91)","(1772.71, 1777.90, 1777.91)","(1861.83, 1868.47, 1868.46)"
hbase.ipc.client.tcpnodelay,"(31322.70, 31016.92)","(1780.97, 1777.91)","(1863.01, 1868.46)"
hbase.unsafe.regionserver.hostname,"(30609.71, 31016.92, 31016.92)","(1788.77, 1777.91, 1777.90)","(1901.80, 1868.46, 1868.45)"
hbase.unsafe.regionserver.hostname.disable.master.reversedns,"(31524.41, 31016.90)","(1797.30, 1777.90)","(1944.69, 1868.45)"
hbase.master.keytab.file,"(30288.07, 31016.91, 31016.89)","(1765.55, 1777.91, 1777.91)","(1856.15, 1868.46, 1868.47)"
hbase.master.kerberos.principal,"(30732.41, 31016.92, 31016.91)","(1782.00, 1777.91, 1777.90)","(1879.92, 1868.46, 1868.46)"
hbase.regionserver.keytab.file,"(29561.73, 31016.87, 31016.89)","(1759.03, 1777.89, 1777.90)","(1910.69, 1868.45, 1868.45)"
hbase.regionserver.kerberos.principal,"(30935.96, 31016.91, 31016.91)","(1766.58, 1777.91, 1777.91)","(1870.62, 1868.47, 1868.46)"
hadoop.policy.file,"(30188.19, 31016.92, 31016.90)","(1706.83, 1777.91, 1777.94)","(1840.92, 1868.46, 1868.47)"
hbase.superuser,"(32299.98, 31016.88, 31016.88)","(1777.94, 1777.90, 1777.90)","(1956.22, 1868.42, 1868.43)"
hbase.auth.key.update.interval,"(37034.33, 31017.10, 31017.05)","(1851.62, 1777.88, 1777.92)","(1961.45, 1868.44, 1868.47)"
hbase.auth.token.max.lifetime,"(29858.19, 31016.89, 31016.94)","(1814.15, 1777.89, 1777.92)","(1814.47, 1868.49, 1868.45)"
hbase.ipc.client.fallback-to-simple-auth-allowed,"(30117.46, 31016.94)","(1693.34, 1777.88)","(1858.90, 1868.47)"
hbase.ipc.server.fallback-to-simple-auth-allowed,"(31136.08, 31016.91)","(1847.65, 1777.87)","(1879.02, 1868.46)"
hbase.unsafe.client.kerberos.hostname.disable.reversedns,"(31315.54, 31016.90)","(1787.62, 1777.91)","(1884.43, 1868.46)"
hbase.display.keys,"(30725.41, 31016.92)","(1775.81, 1777.90)","(1895.03, 1868.47)"
hbase.coprocessor.enabled,"(31441.65, 31016.90)","(1829.18, 1777.93)","(1829.89, 1868.47)"
hbase.coprocessor.user.enabled,"(30992.14, 31016.91)","(1698.15, 1777.86)","(1855.90, 1868.46)"
hbase.coprocessor.region.classes,"(32564.92, 31016.95, 31016.94)","(1734.76, 1777.93, 1777.89)","(1912.58, 1868.45, 1868.44)"
hbase.coprocessor.master.classes,"(31195.88, 31016.91, 31016.92)","(1756.36, 1777.89, 1777.90)","(1866.71, 1868.47, 1868.46)"
hbase.coprocessor.abortonerror,"(31746.49, 31016.90)","(1706.29, 1777.89)","(1847.95, 1868.46)"
hbase.rest.port,"(30780.58, 31016.91, 31016.91)","(1695.72, 1777.88, 1777.91)","(1961.11, 1868.44, 1868.49)"
hbase.rest.readonly,"(31426.27, 31016.91)","(1843.50, 1777.91)","(1799.42, 1868.49)"
hbase.rest.threads.max,"(39200.31, 31016.94, 31016.74)","(1811.74, 1777.89, 1777.91)","(32133.68, 1878.94, 1864.01)"
hbase.rest.threads.min,"(31617.49, 31016.93, 31016.90)","(1745.43, 1777.92, 1777.90)","(1911.52, 1868.45, 1868.48)"
hbase.rest.support.proxyuser,"(30765.09, 31016.92)","(1801.97, 1777.91)","(1876.06, 1868.47)"
hbase.defaults.for.version,"(30382.39, 31016.90, 31016.91)","(1780.01, 1777.91, 1777.90)","(1834.24, 1868.48, 1868.46)"
hbase.defaults.for.version.skip,"(30284.38, 31016.89)","(1783.11, 1777.90)","(1836.01, 1868.46)"
hbase.table.lock.enable,"(31325.82, 31016.92)","(1481.48, 1777.87)","(1875.53, 1868.47)"
hbase.table.max.rowsize,"(31014.67, 31016.91, 31016.91)","(1850.50, 1777.88, 1777.91)","(1867.61, 1868.47, 1868.47)"
hbase.thrift.minWorkerThreads,"(32402.16, 31016.91, 31016.95)","(1824.36, 1777.91, 1777.90)","(1882.58, 1868.46, 1868.47)"
hbase.thrift.maxWorkerThreads,"(30020.10, 31016.94, 31016.88)","(1822.13, 1777.90, 1777.90)","(1873.29, 1868.46, 1868.47)"
hbase.thrift.maxQueuedRequests,"(31280.99, 31016.91, 31016.91)","(1772.19, 1777.90, 1777.91)","(1886.33, 1868.46, 1868.47)"
hbase.regionserver.thrift.framed,"(30502.83, 31016.90)","(1832.34, 1777.89)","(1823.22, 1868.48)"
hbase.regionserver.thrift.framed.max_frame_size_in_mb,"(30297.70, 31016.92, 31016.89)","(1755.21, 1777.91, 1777.92)","(1944.81, 1868.46, 1868.46)"
hbase.regionserver.thrift.compact,"(31116.75, 31016.91)","(1849.76, 1777.94)","(1816.63, 1868.45)"
hbase.rootdir.perms,"(31645.12, 31016.93, 31016.90)","(1748.13, 1777.92, 1777.92)","(1849.90, 1868.47, 1868.47)"
hbase.wal.dir.perms,"(30333.94, 31016.92, 31016.93)","(1707.90, 1777.94, 1777.87)","(1864.41, 1868.46, 1868.47)"
hbase.data.umask.enable,"(30908.82, 31016.91)","(1814.17, 1777.90)","(1903.67, 1868.47)"
hbase.data.umask,"(29839.67, 31016.92, 31016.89)","(1738.10, 1777.90, 1777.89)","(1836.72, 1868.45, 1868.45)"
hbase.snapshot.enabled,"(32251.02, 31016.93)","(1704.71, 1777.87)","(1802.03, 1868.45)"
hbase.snapshot.restore.take.failsafe.snapshot,"(30308.46, 31016.91)","(1690.99, 1777.89)","(1847.08, 1868.46)"
hbase.snapshot.restore.failsafe.name,"(31465.83, 31016.91, 31016.92)","(1856.30, 1777.89, 1777.91)","(1795.70, 1868.43, 1868.44)"
hbase.snapshot.working.dir,"(30938.32, 31016.91, 31016.91)","(1788.36, 1777.91, 1777.90)","(1867.45, 1868.46, 1868.47)"
hbase.server.compactchecker.interval.multiplier,"(31013.85, 31016.91, 31016.91)","(1785.66, 1777.90, 1777.91)","(1895.26, 1868.46, 1868.45)"
hbase.lease.recovery.timeout,"(31647.45, 31016.89, 31016.93)","(1778.96, 1777.90, 1777.90)","(1864.78, 1868.46, 1868.46)"
hbase.lease.recovery.dfs.timeout,"(32396.89, 31016.94, 31016.94)","(1700.75, 1777.88, 1777.88)","(1838.51, 1868.46, 1868.48)"
hbase.column.max.version,"(31157.38, 31016.91, 31016.92)","(1807.79, 1777.89, 1777.91)","(1959.89, 1868.51, 1868.47)"
dfs.client.read.shortcircuit,"(0.00, 31016.71, 31017.33)","(1690.15, 1777.86, 1777.95)","(1789.44, 1868.44, 1868.44)"
dfs.domain.socket.path,"(31305.97, 31016.92, 31016.90)","(1746.94, 1777.90, 1777.91)","(1877.13, 1868.46, 1868.47)"
hbase.dfs.client.read.shortcircuit.buffer.size,"(36401.75, 31016.89, 31017.02)","(1756.82, 1777.90, 1777.91)","(1937.66, 1868.44, 1868.43)"
hbase.regionserver.checksum.verify,"(31200.47, 31016.91)","(1847.08, 1777.93)","(1883.29, 1868.46)"
hbase.hstore.bytes.per.checksum,"(32230.35, 31016.87, 31016.91)","(1805.70, 1777.92, 1777.90)","(1882.78, 1868.46, 1868.47)"
