name,YCSB-100000-100000-workloadb,YCSB-1000-1000-workloada,YCSB-10000-10000-workloadc
hbase.procedure.regionserver.classes,"(31721.51, 31016.91, 31016.89)","(1761.51, 1777.90, 1777.91)","(1848.87, 1868.47, 1868.46)"
hbase.procedure.master.classes,"(31525.28, 31016.90, 31016.91)","(1791.78, 1777.90, 1777.91)","(1925.31, 1868.49, 1868.49)"
hbase.coordinated.state.manager.class,"(32337.48, 31016.90, 31016.89)","(1696.73, 1777.93, 1777.93)","(1824.39, 1868.46, 1868.46)"
hbase.regionserver.storefile.refresh.period,"(0.00, 31017.63, 31015.96)","(0.00, 1778.79, 1778.31)","(1856.70, 1868.47, 1868.47)"
hbase.region.replica.replication.enabled,"(30430.20, 31016.93)","(1485.88, 1777.94)","(1801.67, 1868.44)"
hbase.http.filter.initializers,"(32149.69, 31016.95, 31016.91)","(1769.46, 1777.90, 1777.91)","(1793.30, 1868.46, 1868.47)"
hbase.security.visibility.mutations.checkauths,"(32095.13, 31016.92)","(1779.28, 1777.90)","(1915.18, 1868.45)"
hbase.http.max.threads,"(0.00, 31016.60, 31016.17)","(1863.96, 1777.86, 1777.89)","(1832.05, 1868.48, 1868.46)"
hbase.replication.rpc.codec,"(30945.65, 31016.91, 31016.91)","(1743.76, 1777.89, 1777.92)","(1791.50, 1868.49, 1868.46)"
hbase.replication.source.maxthreads,"(30893.68, 31016.91, 31016.91)","(1750.10, 1777.92, 1777.92)","(1889.53, 1868.46, 1868.47)"
hbase.http.staticuser.user,"(30883.69, 31016.92, 31016.91)","(1723.19, 1777.89, 1777.92)","(1945.70, 1868.44, 1868.43)"
hbase.regionserver.handler.abort.on.error.percent,"(30878.66, 31016.91, 31016.92)","(1834.30, 1777.89, 1777.88)","(1792.84, 1868.47, 1868.43)"
hbase.mob.file.cache.size,"(31309.26, 31016.91, 31016.91)","(1844.07, 1777.93, 1777.93)","(1947.98, 1868.51, 1868.43)"
hbase.mob.cache.evict.period,"(31712.92, 31016.92, 31016.89)","(1794.59, 1777.90, 1777.90)","(1805.98, 1868.48, 1868.49)"
hbase.mob.cache.evict.remain.ratio,"(32397.91, 31016.92, 31016.92)","(1726.32, 1777.91, 1777.89)","(1863.55, 1868.47, 1868.46)"
hbase.master.mob.cleaner.period,"(29717.46, 31016.88, 31016.89)","(1693.09, 1777.86, 1777.86)","(1906.02, 1868.47, 1868.48)"
hbase.mob.major.compaction.region.batch.size,"(31382.72, 31016.90, 31016.91)","(1825.14, 1777.89, 1777.90)","(1885.99, 1868.47, 1868.46)"
hbase.mob.compaction.chore.period,"(30408.81, 31016.90, 31016.92)","(1740.51, 1777.92, 1777.90)","(1936.71, 1868.50, 1868.43)"
hbase.snapshot.master.timeout.millis,"(30927.96, 31016.91, 31016.91)","(1795.26, 1777.91, 1777.91)","(1851.27, 1868.47, 1868.46)"
hbase.snapshot.region.timeout,"(30923.26, 31016.91, 31016.91)","(1769.94, 1777.90, 1777.90)","(1852.13, 1868.47, 1868.46)"
hbase.rpc.rows.warning.threshold,"(31040.55, 31016.91, 31016.91)","(1780.85, 1777.90, 1777.90)","(1877.72, 1868.46, 1868.46)"
hbase.master.wait.on.service.seconds,"(29543.79, 31016.96, 31016.90)","(1694.92, 1777.94, 1777.90)","(1961.58, 1868.46, 1868.44)"
hbase.master.cleaner.snapshot.interval,"(31892.16, 31016.89, 31016.94)","(1772.62, 1777.91, 1777.90)","(1923.43, 1868.49, 1868.46)"
hbase.master.snapshot.ttl,"(31273.45, 31016.91, 31016.91)","(1852.12, 1777.92, 1777.88)","(1960.43, 1868.48, 1868.47)"
hbase.master.regions.recovery.check.interval,"(29594.72, 31016.88, 31016.94)","(1736.28, 1777.90, 1777.89)","(1956.93, 1868.48, 1868.50)"
hbase.regions.recovery.store.file.ref.count,"(29688.03, 31016.89, 31016.91)","(1719.13, 1777.88, 1777.91)","(1890.60, 1868.47, 1868.46)"
hbase.regionserver.slowlog.ringbuffer.size,"(32121.60, 31016.90, 31016.92)","(1718.79, 1777.88, 1777.93)","(1883.69, 1868.46, 1868.47)"
hbase.regionserver.slowlog.buffer.enabled,"(30974.90, 31016.91)","(1762.60, 1777.91)","(1875.95, 1868.47)"
hbase.regionserver.slowlog.systable.enabled,"(31162.95, 31016.91)","(1768.41, 1777.91)","(1872.07, 1868.47)"
hbase.rpc.rows.size.threshold.reject,"(29711.07, 31016.93)","(1779.52, 1777.90)","(1885.85, 1868.46)"
hbase.namedqueue.provider.classes,"(32357.36, 31016.89, 31016.87)","(1852.78, 1777.94, 1777.89)","(1777.71, 1868.48, 1868.50)"
hbase.master.balancer.decision.buffer.enabled,"(30737.32, 31016.91)","(1781.80, 1777.91)","(1875.98, 1868.46)"
hbase.master.balancer.rejection.buffer.enabled,"(31089.82, 31016.91)","(1851.22, 1777.88)","(1945.64, 1868.48)"
hbase.locality.inputstream.derive.enabled,"(29701.39, 31016.92)","(1754.27, 1777.89)","(1956.05, 1868.44)"
hbase.locality.inputstream.derive.cache.period,"(30772.06, 31016.92, 31016.91)","(1857.08, 1777.94, 1777.93)","(1843.02, 1868.46, 1868.46)"
