name,Apache bench-10000-100,Apache bench-10000-1000,jmeter2
Protocols,"(4999.75, 5097.20, 4877.37)","(4007.06, 4134.15, 3890.44)","(4074.42, 4141.96, 4033.84)"
ProtocolsHonorOrder,"(5074.04, 5032.68)","(3978.72, 4041.92)","(4129.94, 3978.03)"
QualifyRedirectURL,"(4953.15, 5030.24)","(3912.50, 3866.60)","(4197.95, 4094.21)"
ReadBufferSize,"(5200.81, 5321.36, 5133.65)","(3914.56, 3830.34, 3913.59)","(4000.00, 4110.21, 4127.70)"
RegexDefaultOptions,"(5042.02, 5027.58, 4861.96)","(4003.41, 3945.17, 3856.20)","(4058.12, 3909.67, 4109.56)"
RegisterHttpMethod,"(5218.28, 5379.23, 5112.06)","(3801.30, 3864.61, 3741.67)","(4098.88, 4176.38, 4166.46)"
RLimitCPU,"(5187.33, 5324.87, 5073.95)","(3941.66, 4023.55, 3907.47)","(4033.37, 4154.20, 4011.61)"
RLimitMEM,"(4808.40, 4700.84, 4778.92)","(4080.21, 4052.90, 4193.79)","(3995.96, 3910.41, 4025.68)"
RLimitNPROC,"(5195.02, 5196.82, 5121.65)","(4079.52, 4038.76, 4090.83)","(4058.32, 4031.38, 4022.41)"
ScriptInterpreterSource,"(4941.82, 5026.86, 4949.74)","(3864.78, 3767.92, 3836.57)","(4151.87, 4068.26, 4113.88)"
SeeRequestTail,"(5007.53, 5032.05)","(3854.53, 3848.91)","(4308.18, 4384.79)"
ServerAdmin,"(4987.82, 4804.82, 4812.19)","(4056.64, 3899.74, 4006.71)","(4126.42, 4177.95, 4256.54)"
ServerAlias,"(5226.01, 5099.08, 5343.13)","(4119.66, 4127.05, 4267.66)","(4053.12, 4200.10, 4071.91)"
ServerName,"(5241.43, 5071.86, 5086.04)","(4107.18, 3996.77, 4021.01)","(4294.18, 4363.67, 4195.50)"
ServerPath,"(5037.64, 4979.92, 5150.72)","(4013.84, 4114.24, 4159.25)","(4152.86, 4003.59, 4132.63)"
ServerRoot,"(5254.91, 5434.60, 5303.73)","(3997.15, 3850.87, 4054.99)","(4022.83, 3863.17, 4181.83)"
ServerSignature,"(5046.67, 5201.94, 4962.12)","(3980.05, 3987.21, 3987.12)","(4130.80, 4172.75, 4217.67)"
ServerTokens,"(5150.89, 5108.90, 5093.26)","(4125.64, 4183.19, 4099.82)","(4085.23, 4075.18, 4010.43)"
SetHandler,"(5010.38, 5117.15, 4916.96)","(4008.24, 3875.56, 4039.52)","(4079.45, 4163.22, 3970.35)"
SetInputFilter,"(5122.47, 5126.28, 5047.81)","(3849.35, 3965.58, 3952.75)","(3881.00, 3998.44, 3899.66)"
SetOutputFilter,"(5029.32, 5012.76, 4843.09)","(4162.48, 4233.03, 4020.28)","(4150.50, 4260.80, 4133.16)"
StrictHostCheck,"(4903.21, 5068.09)","(3946.79, 4001.52)","(3959.27, 4045.08)"
TimeOut,"(5246.48, 5423.52, 5389.56)","(4136.37, 4117.96, 4017.91)","(4007.82, 3927.24, 4117.86)"
TraceEnable,"(5093.11, 5268.51)","(4108.89, 4088.33)","(3993.46, 3953.61)"
UnDefine,"(4952.24, 5061.05, 4943.62)","(3874.57, 3954.61, 3865.76)","(3973.77, 3964.14, 3964.80)"
UseCanonicalName,"(5000.29, 5155.14, 4986.84)","(4090.63, 4153.14, 3954.03)","(3964.16, 4078.37, 4068.55)"
UseCanonicalPhysicalPort,"(5075.95, 4890.22)","(4017.32, 3885.91)","(4129.02, 4090.68)"
