name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
dfs.datanode.available-space-volume-choosing-policy.balanced-space-threshold,"(364, 368, 357)","(246225, 258577, 258577)","(403, 388, 388)"
dfs.datanode.available-space-volume-choosing-policy.balanced-space-preference-fraction,"(365, 361, 391)","(253391, 258577, 258577)","(370, 388, 388)"
dfs.namenode.enable.retrycache,"(374, 384)","(271370, 258577)","(388, 388)"
dfs.namenode.retrycache.heap.percent,"(373, 384, 356)","(257084, 258577, 258577)","(386, 388, 388)"
dfs.namenode.path.based.cache.block.map.allocation.percent,"(382, 378, 379)","(254748, 258577, 258577)","(388, 388, 388)"
dfs.namenode.list.cache.directives.num.responses,"(374, 386, 355)","(264019, 258577, 258577)","(401, 388, 388)"
dfs.namenode.list.cache.pools.num.responses,"(390, 391, 362)","(258679, 258577, 258577)","(392, 388, 388)"
dfs.namenode.path.based.cache.retry.interval.ms,"(371, 359, 382)","(250030, 258577, 258577)","(395, 388, 388)"
dfs.cachereport.intervalMsec,"(370, 369, 368)","(260754, 258577, 258577)","(389, 388, 388)"
dfs.namenode.inotify.max.events.per.rpc,"(355, 360, 373)","(266789, 258577, 258577)","(379, 388, 388)"
dfs.permissions.enabled,"(355, 374)","(266404, 258577)","(369, 388)"
dfs.encrypt.data.transfer.algorithm,"(384, 355, 364)","(261600, 258577, 258577)","(384, 388, 388)"
dfs.client.cache.drop.behind.reads,"(370, 375)","(256471, 258577)","(388, 388)"
dfs.namenode.stale.datanode.interval,"(383, 370, 355)","(249923, 258577, 258577)","(407, 388, 388)"
dfs.namenode.top.enabled,"(383, 381)","(265269, 258577)","(nan, 'nan')"
dfs.namenode.top.num.users,"(371, 383, 360)","(267282, 258577, 258577)","(399, 388, 388)"
dfs.client.cached.conn.retry,"(371, 364, 380)","(260783, 258577, 258577)","(385, 388, 388)"
dfs.namenode.fs-limits.max-directory-items,"(383, 378, 365)","(267230, 258577, 258577)","(371, 388, 388)"
dfs.namenode.shared.edits.dir,"(389, 361, 360)","(264959, 258577, 258577)","(401, 388, 388)"
dfs.datanode.data.dir.perm,"(374, 371, 372)","(258810, 258577, 258577)","(390, 388, 388)"
dfs.namenode.datanode.registration.ip-hostname-check,"(356, 389)","(269894, 258577)","(391, 388)"
dfs.namenode.accesstime.precision,"(389, 375, 370)","(253004, 258577, 258577)","(398, 388, 388)"
dfs.namenode.checkpoint.max-retries,"(379, 382, 368)","(269637, 258577, 258577)","(388, 388, 388)"
