mapreduce.jobhistory.move.thread-count,0.1826
yarn.app.mapreduce.client.max-retries,0.0373
mapreduce.task.timeout,0.0421
mapreduce.task.exit.timeout,0.0131
mapreduce.job.end-notification.retry.interval,0.011
yarn.app.mapreduce.client.job.max-retries,0.0278
mapreduce.jobhistory.loadedjob.tasks.max,0.0698
mapreduce.jobhistory.keytab,0.0086
mapreduce.jobhistory.jobname.limit,0.0112
mapreduce.shuffle.connection-keep-alive.timeout,0.041
mapreduce.jobhistory.jhist.format,0.0411
mapreduce.jobhistory.intermediate-user-done-dir.permissions,0.0332
mapreduce.jobhistory.intermediate-done-dir,0.0381
mapreduce.jobhistory.client.thread-count,0.0431
mapreduce.input.fileinputformat.list-status.num-threads,0.0323
mapreduce.jobhistory.datestring.cache.size,0.0493
yarn.app.mapreduce.am.job.task.listener.thread-count,0.0469
mapreduce.jobhistory.cleaner.interval-ms,0.0123
mapreduce.jobhistory.cleaner.enable,0.0392
mapreduce.jobhistory.always-scan-user-dir,0.0468
mapreduce.jobhistory.admin.address,0.0249
mapreduce.jobhistory.admin.acl,0.028
mapreduce.jobhistory.address,0.0167
mapreduce.job.ubertask.maxreduces,0.0101
mapreduce.job.ubertask.maxmaps,0.0241
mapreduce.job.ubertask.maxbytes,0.1583
mapreduce.job.ubertask.enable,0.0471
mapreduce.job.token.tracking.ids.enabled,0.0419
mapreduce.job.token.tracking.ids,0.0251
mapreduce.job.tags,0.3329
mapreduce.job.split.metainfo.maxsize,0.1027
mapreduce.job.speculative.speculative-cap-total-tasks,0.0259
mapreduce.job.speculative.speculative-cap-running-tasks,0.011
mapreduce.job.speculative.slowtaskthreshold,0.0063
mapreduce.job.speculative.retry-after-speculate,0.2754
mapreduce.reduce.markreset.buffer.percent,0.0368
mapreduce.job.speculative.minimum-allowed-tasks,0.0152
mapreduce.job.skip.outdir,0.0163
mapreduce.job.sharedcache.mode,0.0496
mapreduce.job.send-token-conf,0.0257
mapreduce.reduce.input.buffer.percent,0.0342
mapreduce.job.running.map.limit,0.2096
mapreduce.job.reduces,0.0803
mapreduce.job.reducer.unconditional-preempt.delay.sec,0.1518
mapreduce.job.reducer.preempt.delay.sec,0.1054
mapreduce.job.reduce.slowstart.completedmaps,0.142
mapreduce.job.reduce.shuffle.consumer.plugin.class,0.0297
mapreduce.job.redacted-properties,0.0285
mapreduce.job.queuename,0.0147
mapreduce.job.node-label-expression,0.0548
mapreduce.job.maxtaskfailures.per.tracker,0.0141
mapreduce.job.max.split.locations,0.0985
mapreduce.job.max.map,0.0384
mapreduce.job.maps,0.0103
mapreduce.job.map.output.collector.class,0.0147
mapreduce.job.log4j-properties-file,0.0026
mapreduce.job.local-fs.single-disk-limit.check.kill-limit-exceed,0.014
mapreduce.job.local-fs.single-disk-limit.check.interval-ms,0.1692
mapreduce.job.local-fs.single-disk-limit.bytes,0.2371
mapreduce.job.heap.memory-mb.ratio,0.1813
mapreduce.job.finish-when-all-reducers-done,0.011
mapreduce.job.end-notification.url,0.0194
mapreduce.reduce.shuffle.input.buffer.percent,0.0274
mapreduce.job.end-notification.retry.attempts,0.2956
mapreduce.job.end-notification.max.retry.interval,0.2743
mapreduce.job.end-notification.max.attempts,0.1083
mapreduce.job.end-notification.custom-notifier-class,0.0072
mapreduce.job.encrypted-intermediate-data-key-size-bits,0.0372
mapreduce.client.submit.file.replication,0.0191
mapreduce.reduce.shuffle.merge.percent,0.0191
mapreduce.job.emit-timeline-data,0.0474
mapreduce.job.dfs.storage.capacity.kill-limit-exceed,0.0196
mapreduce.job.counters.max,0.037
mapreduce.job.complete.cancel.delegation.tokens,0.0251
mapreduce.job.committer.setup.cleanup.needed,0.0164
mapreduce.job.classloader.system.classes,0.0207
mapreduce.job.classloader,0.0499
mapreduce.job.cache.limit.max-single-resource-mb,0.0348
mapreduce.job.cache.limit.max-resources-mb,0.0517
mapreduce.job.cache.limit.max-resources,0.0427
mapreduce.job.speculative.retry-after-no-speculate,0.0201
mapreduce.job.acl-view-job,0.0095
mapreduce.job.acl-modify-job,0.0343
mapreduce.input.lineinputformat.linespermap,0.286
mapreduce.input.fileinputformat.split.minsize,0.0217
mapreduce.jobhistory.http.policy,0.0427
mapreduce.ifile.readahead.bytes,0.0337
mapreduce.job.am.node-label-expression,0.0362
mapreduce.framework.name,0.0346
mapreduce.fileoutputcommitter.task.cleanup.enabled,0.0407
mapreduce.reduce.shuffle.fetch.retry.interval-ms,0.0169
mapreduce.cluster.local.dir,0.0254
mapreduce.cluster.acls.enabled,0.0373
